path,min,max,type
CapabilityStatement.messaging.supportedMessage.id,0,1,http://hl7.org/fhirpath/System.String
CapabilityStatement.messaging.supportedMessage.extension,0,*,Extension
CapabilityStatement.messaging.supportedMessage.modifierExtension,0,*,Extension
CapabilityStatement.messaging.supportedMessage.mode,1,1,code
CapabilityStatement.messaging.supportedMessage.definition,1,1,canonical
CapabilityStatement.document,0,*,BackboneElement
CapabilityStatement.document.id,0,1,http://hl7.org/fhirpath/System.String
CapabilityStatement.document.extension,0,*,Extension
CapabilityStatement.document.modifierExtension,0,*,Extension
CapabilityStatement.document.mode,1,1,code
CapabilityStatement.document.documentation,0,1,markdown
CapabilityStatement.document.profile,1,1,canonical
